site_id,site_name,site_category,site_type,service,address,suburb,postcode,lhn_code,status,details,source
SAAS-572,CAMDEN PARK STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,65-69 MORPHETT ROAD,CAMDEN PARK,5038,CALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-689,BURRA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,MARKET SQ,BURRA,5417,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-671,CAMPBELLTOWN STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,MONTACUTE ROAD,NEWTON,5074,CALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-573,CEDUNA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,32 POYNTON STREET,CEDUNA,5690,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-574,CLARE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,WEBB STREET,CLARE,5453,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-576,CLEVE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,20 FOURTH STREET,CLEVE,5640,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-577,COFFIN BAY STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,165-181 ESPLANADE,COFFIN BAY,5607,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-520,COOBER PEDY STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 100 MCKENZIE ROAD,COOBER PEDY,5723,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-521,COOMANDOOK STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,2151 OLD DUKES HIGHWAY,COOMANDOOK,5261,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-522,COONALPYN STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,9-11 POYNTZ TERRACE,COONALPYN,5265,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-523,COWELL STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,1 LINCOLN HIGHWAY,COWELL,5602,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-524,CRYSTAL BROOK STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,35 BRANDIS STREET,CRYSTAL BROOK,5523,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-525,CUMMINS STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,19 TUMBY BAY ROAD,CUMMINS,5631,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-609,ELLISTON STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,4-6 MEMORIAL DRIVE,ELLISTON,5670,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-610,EUDUNDA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,BRUCE STREET,EUDUNDA,5374,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-611,FULHAM STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,396 GRANGE ROAD,FULHAM GARDENS,5024,CALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-613,GAWLER STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,121 MAIN NORTH ROAD,GAWLER,5118,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-614,GLADSTONE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,24 HIGH STREET,GLADSTONE,5473,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-623,GOOLWA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,13 GARDINER STREET,GOOLWA,5214,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-624,HAMLEY BRIDGE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,8 LIGHT,HAMLEY BRIDGE,5401,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-625,HAWKER STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,WIRREANDA TERRACE,HAWKER,5434,FUNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-626,JAMESTOWN STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 14 MUIRKIRK STREET,JAMESTOWN,5491,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-628,KADINA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,6 TAYLOR STREET,KADINA,5554,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
